Name,Revenue,Year,Name2017,Revenue2017,Name2016,Revenue2016,Name2015,Revenue2015,Name2014,Revenue2014
Avatar,2788000000,2009,Star Wars: The Last Jedi,1316000000,Captain America: Civil War ,1140000000,Star Wars: The Force Awakens,2053000000,Transformers: Age of Extinction,1104000000
Titanic,2187000000,1997,Beauty and the Beast,1260000000,Rogue One: A Star Wars Story ,1049000000,Jurassic World,1648000000,The Hobbit: The Battle of the Five Armies,946000000
Star Wars: The Force Awakens,2068000000,2015,The Fate of the Furious,1235000000,Finding Dory,1021000000,Furious 7,1519000000,Guardians of the Galaxy,771000000
Avengers: Infinity War ,2048000000,2018,Despicable Me 3,1035000000,Zootopia,1019000000,Avengers: Age of Ultron,1403000000,The Hunger Games: Mockingjay Part 1,767000000
Jurassic Park ,1672000000,2015,Jumanji: Welcome to the jungle,964000000,The Jungle Book,963000000,Minions,1160000000,Maleficent,759000000
The Avengers,1519000000,2012,Spider-Man: Homecoming,880000000,The Secret Life of Pets,888000000,Spectre,879000000,X-Men Days of Future Past,748000000
Furious 7 ,1516000000,2015,Guardians of the Galaxy Vol 2,862000000,Batman v Superman: Dawn of Justice,867000000,Inside Out,854000000,Captain America The Winter Soldier,714000000
Avengers: Age of Ultron ,1405000000,2015,Wolf Warrior 2,858000000,Fantastic Beasts and Where to Find Them,802000000,Mission Impossible Rogue Nation,688000000,Dawn of the Planet of the Apes,711000000
Black Panther ,1347000000,2018,Thor: Ragnarok,847000000,Deadpool,801000000,The Martian,655000000,The Amazing Spider-Man 2,709000000
Harry Potter and the Deathly Hallows – Part 2,1341000000,2011,Wonder Women,821000000,Suicide Squad,746000000,The Hunger Games: Mockingjay Part 2,648000000,Interstellar,666000000
Star Wars: The Last Jedi,1332000000,2017,Coco,798000000,Doctor Strange,676000000,Fifty Shades of Grey ,570000000,Big Hero 6,652000000
Jurassic World: Fallen Kingdom,1310000000,2018,Pirates of the Caribbean: Dead Men Tell No Tales,788000000,Moana,637000000,Cinderella,534000000,How to Train your Dragon 2,614000000
Frozen,1290000000,2013,It,697000000,Sing,634000000,The Revenant,532000000,American Sniper,547000000
